"name","online_order","book_table","rate","votes","location","rest_type","dish_liked","cuisines","approx_cost.for.two.people.","listed_in.type.","listed_in.city."
"Belgian Waffle Factory","Yes","No",4.8,391,"Vasanth Nagar","Dessert Parlor","Chocolate Waffles","Desserts","400","Delivery","Malleshwaram"
"By 2 Coffee","Yes","No",4.1,219,"Malleshwaram","Quick Bites","Filter Coffee","South Indian","100","Delivery","Malleshwaram"
"The Higher Taste Stores","Yes","No",3.8,120,"Malleshwaram","Quick Bites, Bakery","Paratha","Fast Food, Bakery","300","Delivery","Malleshwaram"
"Biriyani Paradise","Yes","No",3.3,210,"Yeshwantpur","Quick Bites","Beef Biryani","Kerala, Biryani, North Indian, Chettinad","450","Delivery","Malleshwaram"
"Stoned Monkey","Yes","No",4,255,"New BEL Road","Dessert Parlor","Nachos","Desserts, Ice Cream","500","Delivery","Malleshwaram"
"Sagar Samrat","Yes","No",3.7,119,"New BEL Road","Casual Dining","Chaat","North Indian, Chinese, South Indian","400","Delivery","Malleshwaram"
"Salaam Sigri Rolls & Kebabs","Yes","No",3.8,162,"New BEL Road","Quick Bites","Rolls","Rolls, Mughlai","300","Delivery","Malleshwaram"
"Mad Over Donuts","Yes","No",3.9,130,"Malleshwaram","Food Court","Donut","Bakery, Desserts, Beverages","450","Delivery","Malleshwaram"
"Roll Over","Yes","No",3.9,89,"Malleshwaram","Dessert Parlor","Fries","Ice Cream, Beverages, Fast Food","500","Delivery","Malleshwaram"
"Mama Mia!","Yes","No",3.9,111,"Seshadripuram","Dessert Parlor","Hot Chocolate","Desserts, Cafe","400","Delivery","Malleshwaram"
"Mumbai Bistro","Yes","No",4.2,504,"Malleshwaram","Cafe","Pav Bhaji","Cafe, North Indian, Street Food","500","Delivery","Malleshwaram"
"McDonald's","Yes","No",3.9,281,"New BEL Road","Quick Bites","Burgers","Fast Food, Burger","500","Delivery","Malleshwaram"
"Cafe Centralis","Yes","No",2.8,114,"New BEL Road","Cafe","Pasta","Cafe","600","Delivery","Malleshwaram"
"3G's - Gulp & Groove","Yes","Yes",4.1,662,"Malleshwaram","Bar, Casual Dining","Peri Peri Chicken","Finger Food, Continental, Chinese","1,100","Delivery","Malleshwaram"
"Peppermill Bistro","Yes","Yes",4,868,"New BEL Road","Casual Dining, Cafe","Pasta","Continental, European, Mediterranean, Cafe, Steak","1,000","Delivery","Malleshwaram"
"Dhadoom","Yes","No",4,58,"Malleshwaram","Food Court","Fries","North Indian, Street Food, Pizza, Burger, Sandwich","300","Delivery","Malleshwaram"
"Aubree","Yes","No",4.3,722,"Sadashiv Nagar","Cafe, Bakery","Cup Cake","Cafe, Bakery","400","Delivery","Malleshwaram"
"Toscano","Yes","Yes",4.3,1099,"Malleshwaram","Casual Dining","Pizza","Italian, Salad, Mediterranean","1,500","Delivery","Malleshwaram"
"Bangalore Masala House","Yes","No",4.1,257,"Vasanth Nagar","Cafe","Peri Peri Chicken","Cafe, Continental, Fast Food, Pizza, Italian, Burger, Chinese, Desserts","500","Delivery","Malleshwaram"
"Clean Slate Cafe","Yes","No",4.1,272,"Malleshwaram","Cafe","Fries","Cafe, Continental, Italian","600","Delivery","Malleshwaram"
"Domino's Pizza","Yes","No",4,377,"Malleshwaram","Quick Bites","Pizza","Pizza, Fast Food","400","Delivery","Malleshwaram"
"Dolci Desserts","Yes","No",4.3,657,"Cunningham Road","Cafe, Dessert Parlor","Cappuccino","Cafe, Desserts","750","Delivery","Malleshwaram"
"Fish Corner","Yes","No",3.7,118,"Yeshwantpur","Quick Bites","Chicken Sukha","North Indian, Chinese, Seafood","400","Delivery","Malleshwaram"
"Plated","Yes","Yes",4.1,552,"New BEL Road","Cafe","Pasta","Cafe, Continental","800","Delivery","Malleshwaram"
"Khan Saheb Grills and Rolls","Yes","No",3.7,114,"New BEL Road","Quick Bites","Rolls","Fast Food","400","Delivery","Malleshwaram"
"7 Plates","Yes","No",3.9,210,"RT Nagar","Quick Bites","Rolls","North Indian, Mughlai, Rolls, Fast Food","600","Delivery","Malleshwaram"
"Aramane Restaurant","Yes","No",3,75,"Rajajinagar","Quick Bites","Vada","South Indian, Chinese, Fast Food","300","Delivery","Malleshwaram"
"The Big Bellyz","Yes","No",3.9,105,"Malleshwaram","Quick Bites","Momos","Fast Food, Beverages, Momos","300","Delivery","Malleshwaram"
"Ootada Mane","Yes","No",2.9,67,"Yeshwantpur","Casual Dining","Jeera Rice","South Indian, North Indian, Chinese","600","Delivery","Malleshwaram"
"Upsouth","Yes","No",4.1,489,"Malleshwaram","Quick Bites","Filter Coffee","South Indian","300","Delivery","Malleshwaram"
"Infinitea Tea Room & Tea Store","Yes","Yes",4.3,863,"Cunningham Road","Casual Dining, Cafe","Tea","Continental, Cafe, Desserts, Salad, Momos","1,000","Delivery","Malleshwaram"
"Ragoo's Kitchen","Yes","No",3.1,94,"Rajajinagar","Quick Bites","Mutton Biryani","Mangalorean, Chinese, North Indian, Biryani","350","Delivery","Malleshwaram"
"Cafe Rossini","Yes","No",3.9,431,"New BEL Road","Casual Dining","Pasta","Continental, Italian, Chinese","700","Delivery","Malleshwaram"
"Maiyas","Yes","No",3.9,291,"Malleshwaram","Quick Bites, Bakery","Masala Dosa","South Indian, North Indian, Chinese, Bakery, Desserts","300","Delivery","Malleshwaram"
"Ujwal Bar & Restaurant","Yes","No",3.8,111,"RT Nagar","Casual Dining","Sea Food","Seafood, North Indian, Chinese","750","Delivery","Malleshwaram"
"Cafe Poetry","Yes","No",3.7,55,"New BEL Road","Cafe","Pasta","Cafe, Beverages, Healthy Food","400","Delivery","Malleshwaram"
"Ember The Calabash","Yes","No",4.1,669,"New BEL Road","Cafe","Spicy Crispy Corn","Cafe, Italian, Continental, Beverages","800","Delivery","Malleshwaram"
"Surya Refreshments","Yes","No",3.9,40,"Malleshwaram","Quick Bites","Vada","South Indian","150","Delivery","Malleshwaram"
"Mudpipe Cafe","Yes","No",4.2,744,"Cunningham Road","Cafe","Sandwiches","Cafe, Continental, Italian, Burger","750","Delivery","Malleshwaram"
"La Heaven","Yes","No",3.8,87,"Malleshwaram","Bakery, Dessert Parlor","Cup Cake","Bakery, Desserts","400","Delivery","Malleshwaram"
"Cafe Mandala","Yes","No",3.9,48,"New BEL Road","Cafe","Decor","Cafe","600","Delivery","Malleshwaram"
"A2B - Adyar Ananda Bhavan","Yes","No",3.5,78,"RT Nagar","Casual Dining","Badam Milk","South Indian, North Indian, Chinese, Street Food, Fast Food","400","Delivery","Malleshwaram"
"Stevie's","Yes","No",4,69,"Malleshwaram","Cafe","Pasta","Cafe","500","Delivery","Malleshwaram"
"Mumbai Spice","Yes","No",3.7,100,"Malleshwaram","Quick Bites","Paratha","North Indian, Chinese","400","Delivery","Malleshwaram"
"Pai Vihar","Yes","No",2.8,55,"Vasanth Nagar","Quick Bites","Masala Dosa","South Indian, Street Food, Chinese, Fast Food","400","Delivery","Malleshwaram"
"TLP Cafe","Yes","No",3.9,250,"Malleshwaram","Cafe","Coffee","Cafe, Italian","400","Delivery","Malleshwaram"
"Puff Cafe","Yes","No",3.7,126,"New BEL Road","Cafe","Pasta","Cafe, Italian, American","700","Delivery","Malleshwaram"
"Kargeens","Yes","No",3.9,363,"New BEL Road","Cafe","Chocolate Milkshake","Cafe, Italian, Pizza, Continental","900","Delivery","Malleshwaram"
"Step Right Up","Yes","No",4.1,159,"Vasanth Nagar","Cafe","Burgers","Cafe, Italian","300","Delivery","Malleshwaram"
"AQNI","Yes","No",3.6,89,"New BEL Road","Casual Dining","Mutton Biryani","North Indian, Mughlai, Biryani, Rolls","650","Delivery","Malleshwaram"
"Bademiyan Kebabs","Yes","No",3.8,86,"Malleshwaram","Casual Dining","Chicken Biryani","Kebab, Hyderabadi, Biryani, Charcoal Chicken","600","Delivery","Malleshwaram"
"Absolute Waffles","Yes","No",3.9,49,"New BEL Road","Dessert Parlor","Waffles","Desserts, Fast Food","200","Delivery","Malleshwaram"
"Retreat Restaurant","Yes","No",3.7,88,"RT Nagar","Casual Dining","Tandoori Chicken","Chinese, North Indian","500","Delivery","Malleshwaram"
"Red Lantern","Yes","No",3.7,160,"Cunningham Road","Casual Dining","Noodles","Chinese, Thai","700","Delivery","Malleshwaram"
"Hotel Chandrika","Yes","No",3.8,208,"Cunningham Road","Casual Dining","Thali","South Indian, North Indian, Chinese, Street Food","400","Delivery","Malleshwaram"
"Veena Stores","Yes","No",4.5,2407,"Malleshwaram","Quick Bites","Kesari Bath","South Indian","150","Delivery","Malleshwaram"
"Pot Biryani","Yes","No",3.8,154,"New BEL Road","Quick Bites","Biryani","North Indian, Chinese, Biryani","450","Delivery","Malleshwaram"
"Mother's Kitchen","Yes","No",3.7,158,"RT Nagar","Casual Dining","Roti","North Indian","600","Delivery","Malleshwaram"
"Imperial Restaurant","Yes","No",3.8,253,"Vasanth Nagar","Casual Dining","Ghee Rice","North Indian, Chinese, Biryani","800","Delivery","Malleshwaram"
"California Burrito","No","No",4.2,124,"Malleshwaram","Food Court","Nachos","Mexican, Fast Food","400","Delivery","Malleshwaram"
"Rajdhani Thali Restaurant","Yes","Yes",4,610,"Malleshwaram","Casual Dining","Thali","North Indian","1,000","Delivery","Malleshwaram"
"Sindh Kitchen","Yes","Yes",4.2,166,"Malleshwaram","Casual Dining","Dal Pakwan","North Indian, Sindhi, Seafood","1,100","Delivery","Malleshwaram"
"Hatch","Yes","Yes",4.1,469,"Malleshwaram","Casual Dining, Bar","Cocktails","North Indian, Mangalorean, Seafood","1,200","Delivery","Malleshwaram"
"Natural Ice Cream","No","No",4.3,188,"Malleshwaram","Dessert Parlor","Coconut Ice Cream","Ice Cream, Beverages","200","Delivery","Malleshwaram"
"Dil Se Punjabi","Yes","No",3,106,"RT Nagar","Casual Dining","Butter Chicken","North Indian, Mughlai, Chinese","550","Delivery","Malleshwaram"
"Momo Shop","Yes","No",4,124,"RT Nagar","Quick Bites","Chaap","Momos, Street Food, Rolls","200","Delivery","Malleshwaram"
"Coastal Biryani Paradise","Yes","No",3.9,140,"RT Nagar","Casual Dining","Chicken Biryani","North Indian, Chinese, Biryani","500","Delivery","Malleshwaram"
"Biriyani Nights","Yes","No",3.2,711,"New BEL Road","Takeaway, Delivery","Chicken Kebab","Biryani, Kebab, Continental","500","Delivery","Malleshwaram"
"Prana","Yes","No",4,238,"New BEL Road","Cafe","Coffee","Cafe, Healthy Food, South Indian","500","Delivery","Malleshwaram"
"Kabab Palace","Yes","No",3.8,72,"Rajajinagar","Quick Bites","French Chicken","North Indian, Chinese, Kebab","350","Delivery","Malleshwaram"
"Andhra Vantakam","Yes","No",3.9,317,"Rajajinagar","Casual Dining","Andhra Meal","Andhra, Chinese, North Indian, Seafood","800","Delivery","Malleshwaram"
"HighTeaParty Cafe","Yes","No",3.9,72,"Malleshwaram","Cafe","Cheese Balls","Cafe, Continental, Steak, Italian","500","Delivery","Malleshwaram"
"Jashn Hyderabadi Bawarchi","Yes","No",2.9,139,"New BEL Road","Casual Dining","Lemon Chicken","Hyderabadi, North Indian, Chinese, Biryani","650","Delivery","Malleshwaram"
"Quickie's","Yes","No",3.9,86,"Seshadripuram","Quick Bites","Maggi","Fast Food, Rolls","200","Delivery","Malleshwaram"
"Chowmein","Yes","No",4,280,"Seshadripuram","Casual Dining","Noodles","North Indian, Chinese, Thai, Momos","600","Delivery","Malleshwaram"
"Bon Appetit Resto","Yes","No",3.8,50,"New BEL Road","Delivery","Biryani","North Indian, Chinese","300","Delivery","Malleshwaram"
"Biryani Day","Yes","No",3.8,215,"Rajajinagar","Quick Bites","Donne Biryani","Biryani, Kebab","400","Delivery","Malleshwaram"
"Swathi","Yes","No",3.8,591,"Rajajinagar","Casual Dining","Chicken Kebab","Andhra, North Indian, Chinese","700","Delivery","Malleshwaram"
"Vande Matharam","Yes","No",2.3,178,"Rajajinagar","Casual Dining","Coffee","North Indian, Chinese, South Indian, Street Food","500","Delivery","Malleshwaram"
"Oottupura","Yes","No",2.6,166,"New BEL Road","Quick Bites","Chicken Grill","Kerala, North Indian, Chinese, Rolls, Juices","350","Delivery","Malleshwaram"
"The Purple Pan","Yes","No",4.1,500,"Rajajinagar","Casual Dining","Kalmi Kebab","North Indian, Chinese","600","Delivery","Malleshwaram"
"Masti Masala","Yes","No",4,397,"Rajajinagar","Quick Bites","Paratha","North Indian","450","Delivery","Malleshwaram"
"Mainland China","Yes","Yes",4.5,1150,"Malleshwaram","Casual Dining","Kimchi","Chinese","1,700","Delivery","Malleshwaram"
"Punjab Mail","Yes","No",3.8,323,"Malleshwaram","Casual Dining","Biryani","North Indian, Chinese, Beverages","650","Delivery","Malleshwaram"
"1947","No","Yes",4,1070,"Malleshwaram","Casual Dining","Jal-jeera","North Indian, Chinese","950","Delivery","Malleshwaram"
"Eat At Nite","Yes","No",3.4,77,"Frazer Town","Takeaway, Delivery","Andhra Chicken Curry","North Indian, Chinese, Rolls","400","Delivery","Malleshwaram"
"Kusum Restaurant","Yes","No",3,99,"New BEL Road","Casual Dining","Rolls","North Indian, Chinese, Mughlai","500","Delivery","Malleshwaram"
"The Green Path - Forgotten Food","No","Yes",4.3,1143,"Malleshwaram","Casual Dining","Lunch Buffet","North Indian, South Indian","1,100","Delivery","Malleshwaram"
"Swasthi Spice Restaurant","Yes","No",3.4,589,"Rajajinagar","Casual Dining","Hyderabadi Dum Biryani","Andhra, North Indian, Chinese, Biryani","600","Delivery","Malleshwaram"
"Beijing Bites","No","No",3.7,175,"Malleshwaram","Casual Dining","Noodles","Chinese, Thai","600","Delivery","Malleshwaram"
"Chung Wah","Yes","No",4,537,"New BEL Road","Casual Dining","Fish","Chinese, Momos, Thai, Vietnamese","650","Delivery","Malleshwaram"
"New Shanthi Sagar","Yes","No",3.5,100,"Rajajinagar","Quick Bites","Coffee","South Indian, North Indian, Chinese, Street Food","400","Delivery","Malleshwaram"
"Iyer Mess","Yes","No",4.1,327,"Malleshwaram","Mess","Masala Vada","South Indian","150","Delivery","Malleshwaram"
"Chandus Delux","Yes","No",3.9,81,"Malleshwaram","Casual Dining","Biryani","South Indian, North Indian, Seafood, Chinese","600","Delivery","Malleshwaram"
"Pavilion Restaurant","Yes","No",4.2,100,"Yeshwantpur","Casual Dining","Salads","North Indian, Chinese, Continental","1,000","Delivery","Malleshwaram"
"Navrang Kabab Korner","Yes","No",3.7,349,"Rajajinagar","Casual Dining","Butter Chicken","North Indian, Mughlai, Biryani, Chinese, Kebab","600","Delivery","Malleshwaram"
"Chandrappa Hotel","Yes","No",4.2,253,"Yeshwantpur","Quick Bites","Pork Pepper Fry","South Indian, North Indian, Chinese","450","Delivery","Malleshwaram"
"South Spicy Bites","Yes","No",3.7,67,"Basaveshwara Nagar","Casual Dining","Fish","North Indian, Chinese","500","Delivery","Malleshwaram"
"Banjara Melting Pot","Yes","Yes",4.2,476,"Cunningham Road","Casual Dining","Lamb Curry","North Indian, Chinese, Seafood","1,700","Delivery","Malleshwaram"
"Feast India Co.","Yes","No",4.2,136,"Cunningham Road","Casual Dining","Naan","Awadhi, Bengali, North Indian","1,500","Delivery","Malleshwaram"
"Chung's Chinese Corner","Yes","No",4.1,444,"Malleshwaram","Casual Dining","Manchow Soup","Chinese, Asian, American, Seafood","600","Delivery","Malleshwaram"
"Shree Mahalakshmi Sweets","Yes","No",3.9,61,"Basaveshwara Nagar","Sweet Shop","Mysore Pak","Mithai, Street Food","100","Delivery","Malleshwaram"
"Shezan","Yes","No",4.1,398,"Cunningham Road","Casual Dining","Butter Naan","Chinese, Continental, North Indian, Mughlai, Steak","600","Delivery","Malleshwaram"
"Currylicious","No","No",3.1,49,"Malleshwaram","Food Court","Neer Dosa","South Indian, Mangalorean, Kerala","800","Delivery","Malleshwaram"
"Kudla - Coraltree","Yes","Yes",3.8,280,"RT Nagar","Casual Dining","Sea Food","Seafood, Mangalorean","1,200","Delivery","Malleshwaram"
"Pure & Natural","No","No",2.6,30,"Malleshwaram","Quick Bites","Sandwiches","Healthy Food, Beverages, Fast Food","500","Delivery","Malleshwaram"
"New Prashanth Hotel","Yes","No",3.7,50,"Majestic","Casual Dining","Biryani","South Indian, Biryani, Chinese, North Indian","750","Delivery","Malleshwaram"
"Mint Masala","Yes","No",3.8,571,"Sadashiv Nagar","Casual Dining","Salads","Chinese, North Indian","800","Delivery","Malleshwaram"
"Jalpaan","Yes","Yes",3.9,675,"Rajajinagar","Casual Dining","Mocktails","North Indian, Continental","900","Delivery","Malleshwaram"
"Taiyvan's","Yes","No",3.7,101,"RT Nagar","Casual Dining","Momos","Chinese, Thai, Seafood, Malaysian","500","Delivery","Malleshwaram"
"Hotel Emirates","Yes","No",3.1,94,"RT Nagar","Casual Dining","Chicken Grill","North Indian, Chinese, Arabian, Kebab","500","Delivery","Malleshwaram"
"Fat Buddha","Yes","Yes",4,457,"Cunningham Road","Casual Dining","Crab Soup","Chinese, Thai","1,000","Delivery","Malleshwaram"
"Kim Lee Restaurant","Yes","No",3.8,149,"Rajajinagar","Casual Dining","Noodles","Chinese","700","Delivery","Malleshwaram"
"Pulimunchi","Yes","Yes",4.1,532,"Sadashiv Nagar","Casual Dining","Neer Dosa","Mangalorean, Seafood","1,000","Delivery","Malleshwaram"
"Ramana's","Yes","Yes",4,380,"Cunningham Road","Casual Dining","Palak Soup","North Indian, Chinese, Healthy Food","850","Delivery","Malleshwaram"
"The Orchard","Yes","Yes",4,672,"Sadashiv Nagar","Casual Dining","Mocktails","North Indian","900","Delivery","Malleshwaram"
"Gundappa Donne Biryani","Yes","No",3.8,177,"Seshadripuram","Quick Bites","Chilli Chicken","Biryani","300","Delivery","Malleshwaram"
"Sea Route","Yes","Yes",4.1,426,"Rajajinagar","Casual Dining","Sea Food","Seafood, North Indian, Chinese","1,100","Delivery","Malleshwaram"
"Satrangi","Yes","No",3.7,212,"New BEL Road","Casual Dining","Kiwi Juice","North Indian, South Indian","900","Delivery","Malleshwaram"
"Barbecued - By The Orchard","No","Yes",4.3,592,"Sadashiv Nagar","Casual Dining","Vegetable Biryani","North Indian","1,200","Delivery","Malleshwaram"
"Kesariya","No","Yes",4.2,174,"Sadashiv Nagar","Casual Dining","Rajasthani Thali","Rajasthani","1,200","Delivery","Malleshwaram"
"The Higher Taste","No","Yes",4.3,854,"Rajajinagar","Casual Dining","Aloo Gobhi","Pizza, Biryani, North Indian, South Indian","800","Delivery","Malleshwaram"
"Little Italy","No","Yes",4.3,354,"Sadashiv Nagar","Casual Dining","Pizza","Italian, Pizza, Mexican","1,400","Delivery","Malleshwaram"
"Nandhini Deluxe","No","No",4,471,"Sankey Road","Casual Dining","Mutton Chops","North Indian","600","Delivery","Malleshwaram"
"Sea Rock","Yes","Yes",4.6,514,"Seshadripuram","Casual Dining","Sea Food","Mangalorean, Seafood, South Indian, North Indian, Chinese, Mughlai","1,000","Delivery","Malleshwaram"
"Coastal Spice","Yes","Yes",3.7,56,"Rajajinagar","Casual Dining","Sea Food","Seafood, North Indian, Chinese, Continental, Mangalorean","900","Delivery","Malleshwaram"
"Swaadishta Restaurant","No","No",2.5,60,"Sadashiv Nagar","Casual Dining","Biryani","Andhra, North Indian, Chinese, Mangalorean","750","Delivery","Malleshwaram"
"The Park East 01","No","No",3.8,53,"Race Course Road","Casual Dining","Vegetable Biryani","North Indian, Chinese","750","Delivery","Malleshwaram"
"Kwatlay Rest-O-Cafe","No","No",4.1,184,"Seshadripuram","Casual Dining","Paratha","Continental, Cafe, Italian, North Indian","800","Delivery","Malleshwaram"
"Pakwan","Yes","Yes",4.1,289,"Sadashiv Nagar","Casual Dining","Virgin Colada","North Indian, Chinese, Italian","800","Delivery","Malleshwaram"
"Aromas Of South","Yes","No",3.7,46,"Race Course Road","Casual Dining","Appam","South Indian","1,000","Delivery","Malleshwaram"
"Kitchen Katta","Yes","No",4.1,196,"Sanjay Nagar","Quick Bites","Misal Pav","Maharashtrian","300","Delivery","Malleshwaram"
"Sbarro","No","No",2.7,268,"Malleshwaram","Food Court","Garlic Bread","Pizza","500","Delivery","Malleshwaram"
"Nomadic Tandoor","Yes","No",3.7,168,"New BEL Road","Cafe","Biryani","Cafe, North Indian, Chinese, Continental","700","Delivery","Malleshwaram"
"Shaken & Stirred","Yes","No",3.9,86,"Race Course Road","Bar, Casual Dining","Seekh Kebab","Continental, North Indian, Chinese","1,500","Delivery","Malleshwaram"
"1522 - The Pub","Yes","No",4.2,1731,"Malleshwaram","Pub","Beer","Chinese, Continental, North Indian","1,400","Delivery","Malleshwaram"
"Northwind","No","No",3.9,83,"Seshadripuram","Casual Dining","Pandi Curry","Biryani, Chinese, North Indian, Mangalorean","650","Delivery","Malleshwaram"
"Zodiac - Fortune Select JP Cosmos Hotel","Yes","Yes",3.8,91,"Cunningham Road","Casual Dining","Salads","North Indian, South Indian, Chinese, Continental","1,800","Delivery","Malleshwaram"
"Mojo Pizza - 2X Toppings","Yes","No",4.1,289,"Rajajinagar","Takeaway, Delivery","Garlic Bread","Pizza","600","Delivery","Malleshwaram"
"Amma's Pastries","No","No",4.2,217,"Malleshwaram","Bakery","Eggless Cake","Bakery, Desserts","400","Desserts","Malleshwaram"
"La Heaven","Yes","No",3.8,87,"Malleshwaram","Bakery, Dessert Parlor","Cup Cake","Bakery, Desserts","400","Desserts","Malleshwaram"
"Frozen Coast","No","No",3.9,107,"Malleshwaram","Dessert Parlor","Cheese Balls","Desserts, Ice Cream","250","Desserts","Malleshwaram"
"Smoor","Yes","No",4.2,287,"Malleshwaram","Cafe, Dessert Parlor","Chocolate Sundae","Desserts, Cafe, Continental","700","Desserts","Malleshwaram"
"Natural Ice Cream","No","No",4.3,188,"Malleshwaram","Dessert Parlor","Coconut Ice Cream","Ice Cream, Beverages","200","Desserts","Malleshwaram"
"Bun World","No","No",3.9,132,"Malleshwaram","Bakery","Sandwiches","Bakery, Fast Food","250","Desserts","Malleshwaram"
"Asha Sweets Centre","Yes","No",4.3,124,"Malleshwaram","Sweet Shop","Badam Milk","Mithai, Street Food","250","Desserts","Malleshwaram"
"Krispy Kreme","Yes","No",4.1,196,"Malleshwaram","Dessert Parlor","Donut","Desserts, Beverages","300","Desserts","Malleshwaram"
"Roll Over","Yes","No",3.9,89,"Malleshwaram","Dessert Parlor","Fries","Ice Cream, Beverages, Fast Food","500","Desserts","Malleshwaram"
"Waffle Stories","Yes","No",3.9,359,"Malleshwaram","Food Court","Brownie Sundae","Desserts","300","Desserts","Malleshwaram"
"Keventers","Yes","No",3.7,104,"Malleshwaram","Beverage Shop, Dessert Parlor","Thick Shakes","Desserts, Beverages, Ice Cream","400","Desserts","Malleshwaram"
"Cold Stone Creamery","Yes","No",4.1,142,"Malleshwaram","Dessert Parlor","Chocolate Devotion","Ice Cream, Desserts","400","Desserts","Malleshwaram"
"Polar Bear","Yes","No",4,165,"Malleshwaram","Dessert Parlor","Sandwiches","Desserts, Ice Cream, Beverages, Sandwich","400","Desserts","Malleshwaram"
"Amrith Ice Cream","No","No",4.1,81,"Malleshwaram","Dessert Parlor","Hot Chocolate Fudge","Ice Cream","100","Desserts","Malleshwaram"
"Oh So Stoned!","No","No",4.1,96,"Malleshwaram","Food Court","Waffles","Beverages, Desserts","250","Desserts","Malleshwaram"
"Gelato Italiano","No","No",3.8,51,"Malleshwaram","Dessert Parlor","Gelato","Ice Cream, Bakery, Desserts","200","Desserts","Malleshwaram"
"Mad Over Donuts","Yes","No",3.9,130,"Malleshwaram","Food Court","Donut","Bakery, Desserts, Beverages","450","Desserts","Malleshwaram"
"Aubree","Yes","No",4.3,722,"Sadashiv Nagar","Cafe, Bakery","Cup Cake","Cafe, Bakery","400","Desserts","Malleshwaram"
"Third Wave Coffee Roasters","No","No",4.3,90,"Sadashiv Nagar","Cafe","Coffee","Cafe, Continental, Desserts","800","Desserts","Malleshwaram"
"Corner House Ice Cream","Yes","No",4.4,403,"Seshadripuram","Dessert Parlor","Hot Chocolate Fudge","Ice Cream, Desserts","400","Desserts","Malleshwaram"
"Mama Mia!","Yes","No",3.9,111,"Seshadripuram","Dessert Parlor","Hot Chocolate","Desserts, Cafe","400","Desserts","Malleshwaram"
"Fabelle Chocolate Boutique - ITC Windsor","No","No",4.2,59,"Sankey Road","Dessert Parlor","Caramel Ganache","Desserts, Ice Cream, Beverages","1,250","Desserts","Malleshwaram"
"Kwatlay Rest-O-Cafe","No","No",4.1,184,"Seshadripuram","Casual Dining","Paratha","Continental, Cafe, Italian, North Indian","800","Desserts","Malleshwaram"
"O.G. Variar & Sons","No","No",4.8,1156,"Rajajinagar","Bakery","Veg Puff","Bakery, Desserts","200","Desserts","Malleshwaram"
"Onesta","Yes","Yes",4.3,355,"Basaveshwara Nagar","Casual Dining, Cafe","Paneer Pizza","Pizza, Cafe, Italian","600","Desserts","Malleshwaram"
"Richie Rich","Yes","No",4,629,"Race Course Road","Dessert Parlor, Quick Bites","Tawa Pulav","Desserts, Beverages, Fast Food, Ice Cream","450","Desserts","Malleshwaram"
"Cinnamon - Renaissance Hotel, Bengaluru","No","No",4.3,236,"Race Course Road","Dessert Parlor","Masala Tea","Desserts","500","Desserts","Malleshwaram"
"Frozenheit?","Yes","No",4,154,"Rajajinagar","Dessert Parlor","Choco Death","Ice Cream","500","Desserts","Malleshwaram"
"The Green Path - Forgotten Food","No","Yes",4.3,1143,"Malleshwaram","Casual Dining","Lunch Buffet","North Indian, South Indian","1,100","Dine-out","Malleshwaram"
"High Ultra Lounge","No","Yes",4.1,4767,"Malleshwaram","Lounge, Casual Dining","Cocktails","Japanese, Thai, Chinese, Korean","2,600","Dine-out","Malleshwaram"
"Punjab Grill","Yes","Yes",4.9,1940,"Malleshwaram","Casual Dining","Chicken Malai Tikka","North Indian, Mughlai","2,000","Dine-out","Malleshwaram"
"District 6 Pub Brewery & Kitchen","No","No",4.3,2316,"Malleshwaram","Microbrewery","Mushroom Tikka","German, European, Pizza, American, North Indian, Chinese","1,800","Dine-out","Malleshwaram"
"Feast - Sheraton Grand Bangalore Hotel at Brigade...","No","Yes",4.3,950,"Malleshwaram","Fine Dining","Sunday Brunch","North Indian, Continental","2,000","Dine-out","Malleshwaram"
"Barbecue by Punjab Grill","No","Yes",4.7,1316,"Malleshwaram","Casual Dining","Prawn","BBQ","1,300","Dine-out","Malleshwaram"
"The Persian Terrace - Sheraton Grand Bangalore Hotel...","No","Yes",4.2,563,"Malleshwaram","Fine Dining","Appam","Lebanese, Mediterranean, Afghan","2,500","Dine-out","Malleshwaram"
"Hatch","Yes","Yes",4.1,469,"Malleshwaram","Casual Dining, Bar","Cocktails","North Indian, Mangalorean, Seafood","1,200","Dine-out","Malleshwaram"
"Mainland China","Yes","Yes",4.5,1150,"Malleshwaram","Casual Dining","Kimchi","Chinese","1,700","Dine-out","Malleshwaram"
"Chili's American Grill & Bar","Yes","Yes",4.8,6433,"Malleshwaram","Casual Dining, Bar","Veg Platter","American, Tex-Mex, Burger, BBQ, Mexican","1,400","Dine-out","Malleshwaram"
"Al-Bek","Yes","No",4.1,935,"Malleshwaram","Casual Dining","Biryani","Mughlai, Chinese","700","Dine-out","Malleshwaram"
"The Asian Curry House","Yes","No",4.5,785,"Malleshwaram","Casual Dining","Sushi","Vietnamese, Thai, Burmese, Japanese","1,000","Dine-out","Malleshwaram"
"1522 - The Pub","Yes","No",4.2,1731,"Malleshwaram","Pub","Beer","Chinese, Continental, North Indian","1,400","Dine-out","Malleshwaram"
"Toscano","Yes","Yes",4.3,1099,"Malleshwaram","Casual Dining","Pizza","Italian, Salad, Mediterranean","1,500","Dine-out","Malleshwaram"
"Hyderabad Biryani House","No","No",4.1,213,"Malleshwaram","Casual Dining","Hyderabadi Biryani","Biryani, Hyderabadi, Chinese","800","Dine-out","Malleshwaram"
